id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,"The genre of the drama ""Good Sam"" is what?",medical drama.,1
2,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17.",1
3,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"Defensive Coordinator. 

According to document 5, Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech. This is also confirmed by document 2 which lists his 2021 position as Valdosta State (Defensive Coordinator).",1
4,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,How many vehicles did Tesla deliver in 2021?,"According to Document 2 and Document 3, Tesla delivered 936,172 vehicles in 2021. This represents an 87% increase from 2020.",1
5,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,Which company acquired ShowBiz Cinemas?,Evo Entertainment Group acquired 100 percent of the stock of Showbiz Cinemas in an all-cash deal.,1
6,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,Where is the Super Bowl held in 2022?,"SoFi Stadium in Inglewood, California.",1
7,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,When will Truth Social launch on iOS?,"February 21st, 2022.",1
8,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,What won best drama at 79th Golden Globes?,The Power of the Dog.,1
9,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,How much are GA Tech softball 2022 season tickets?,"According to Document 5, Georgia Tech softball 2022 season tickets cost $100 per seat and are located in the reserved chairback sections of Mewborn Field.",1
10,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,When does the 2022 Olympic Winter Games end?,"The 2022 Winter Olympics, officially called the XXIV Olympic Winter Games, ended on February 20, 2022, as indicated in Document 2 and Document 4.",1
11,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,Who won the Spanish Super Cup 2022?,I can not answer the question because of the insufficient information in documents.,0
12,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,How much is Microsoft acquiring Activision Blizzard for?,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1
13,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,What is the price for a 30-second spot during the Super Bowl 2022?,"According to Document 2 and Document 4, the price for a 30-second commercial during the Super Bowl in 2022 was $6.5 million.",1
14,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,When is the Sports Star of the Year Awards Show 2022?,"May 26, 2022.",1
15,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey.",1
16,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,What is the codename for Google's AR headset project?,Project Iris.,1
17,meta-llama/llama-4-scout-17b-16e-instruct,noise_robustness,0.4,What is the name of Meta's AI supercomputer?,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1
