id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.3-70b-versatile,noise_robustness,0.0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,llama-3.3-70b-versatile,noise_robustness,0.0,"The genre of the drama ""Good Sam"" is what?",Medical drama.,1
2,llama-3.3-70b-versatile,noise_robustness,0.0,Who won the 2022 Citrus Bowl?,"The Kentucky Wildcats won the 2022 Citrus Bowl, defeating the University of Iowa 20-17.",1
3,llama-3.3-70b-versatile,noise_robustness,0.0,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Defensive Coordinator.,1
4,llama-3.3-70b-versatile,noise_robustness,0.0,How many vehicles did Tesla deliver in 2021?,"936,172 vehicles.",1
5,llama-3.3-70b-versatile,noise_robustness,0.0,Which company acquired ShowBiz Cinemas?,Evo Entertainment Group acquired ShowBiz Cinemas.,1
6,llama-3.3-70b-versatile,noise_robustness,0.0,Where is the Super Bowl held in 2022?,"SoFi Stadium in Inglewood, California.",1
7,llama-3.3-70b-versatile,noise_robustness,0.0,When will Truth Social launch on iOS?,Truth Social launched on iOS on February 21st.,1
8,llama-3.3-70b-versatile,noise_robustness,0.0,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Motion Picture – Drama at the 79th Golden Globes.,1
9,llama-3.3-70b-versatile,noise_robustness,0.0,How much are GA Tech softball 2022 season tickets?,$100 per seat.,1
10,llama-3.3-70b-versatile,noise_robustness,0.0,When does the 2022 Olympic Winter Games end?,The 2022 Olympic Winter Games ended on 20 February 2022.,1
11,llama-3.3-70b-versatile,noise_robustness,0.0,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022, defeating Athletic Bilbao 2-0 in the final.",1
12,llama-3.3-70b-versatile,noise_robustness,0.0,How much is Microsoft acquiring Activision Blizzard for?,$68.7 billion,1
13,llama-3.3-70b-versatile,noise_robustness,0.0,What is the price for a 30-second spot during the Super Bowl 2022?,$6.5 million.,1
14,llama-3.3-70b-versatile,noise_robustness,0.0,When is the Sports Star of the Year Awards Show 2022?,"The 87th annual Seattle Sports Star of the Year Awards Show took place on May 26, 2022.",1
15,llama-3.3-70b-versatile,noise_robustness,0.0,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. They were Georgia Tech's first Black students and first Black graduate, respectively.",1
16,llama-3.3-70b-versatile,noise_robustness,0.0,What is the codename for Google's AR headset project?,The codename for Google's AR headset project is Project Iris.,1
