id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.1-8b-instant,noise_robustness,0.0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,llama-3.1-8b-instant,noise_robustness,0.0,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,llama-3.1-8b-instant,noise_robustness,0.0,Who won the 2022 Citrus Bowl?,"The Kentucky Wildcats won the 2022 Citrus Bowl. This information can be found in multiple documents, including Document 2, Document 3, and Document 5.",1
3,llama-3.1-8b-instant,noise_robustness,0.0,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,According to Document 3: Jason Semore helped lead Valdosta State to the 2021 NCAA Division II national championship game as defensive coordinator before returning to Georgia Tech.,1
4,llama-3.1-8b-instant,noise_robustness,0.0,How many vehicles did Tesla deliver in 2021?,"According to Document 1, Document 2, Document 3, Document 4, and Document 5, Tesla delivered 936,172 vehicles in 2021.",1
5,llama-3.1-8b-instant,noise_robustness,0.0,Which company acquired ShowBiz Cinemas?,Evo Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,llama-3.1-8b-instant,noise_robustness,0.0,Where is the Super Bowl held in 2022?,"SoFi Stadium in Inglewood, California.",1
7,llama-3.1-8b-instant,noise_robustness,0.0,When will Truth Social launch on iOS?,"According to Document 1, Document 2, Document 3, Document 4, and Document 5, Truth Social will launch on iOS on February 21st.",1
8,llama-3.1-8b-instant,noise_robustness,0.0,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Motion Picture – Drama at the 79th Golden Globes.,1
9,llama-3.1-8b-instant,noise_robustness,0.0,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents.,0
10,llama-3.1-8b-instant,noise_robustness,0.0,When does the 2022 Olympic Winter Games end?,"According to Document 2, the competition began two days before the opening ceremony on 2 February, and ended on 20 February 2022.",1
11,llama-3.1-8b-instant,noise_robustness,0.0,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022. 

This answer is based on the information in Document 2, which states that Real Madrid won the final 2–0 for their 12th Supercopa de España title.",1
12,llama-3.1-8b-instant,noise_robustness,0.0,How much is Microsoft acquiring Activision Blizzard for?,$68.7 billion,1
13,llama-3.1-8b-instant,noise_robustness,0.0,What is the price for a 30-second spot during the Super Bowl 2022?,$6.5 million.,1
14,llama-3.1-8b-instant,noise_robustness,0.0,When is the Sports Star of the Year Awards Show 2022?,"The Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1
15,llama-3.1-8b-instant,noise_robustness,0.0,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., the late Lawrence Williams, and Ronald Yancey.",1
16,llama-3.1-8b-instant,noise_robustness,0.0,What is the codename for Google's AR headset project?,The codename for Google's AR headset project is Project Iris.,1
17,llama-3.1-8b-instant,noise_robustness,0.0,What is the name of Meta's AI supercomputer?,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1
18,llama-3.1-8b-instant,noise_robustness,0.0,When will American students start taking digital SAT exams?,"According to Document 1, schools and testing centers in the U.S. will offer the first digital SAT test in the spring of 2024.",1
19,llama-3.1-8b-instant,noise_robustness,0.0,When do the Paralympic Winter Games 2022 start?,"The 2022 Paralympic Winter Games begin on Friday, March 4, and end on Sunday, March 13 in Beijing, China.",1
