i,error,question,response,retrieved_idx,context_relevance,context_utilization,completeness,adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,False,Are Portuguese Podengo and Russo-European Laika the same breed of dog?,"No, they are not the same breed of dog. According to the documents, the Portuguese Podengo is an ancient multi-sensory hound breed from Portugal, while the Russo-European Laika is a breed of hunting d","[1, 2, 0, 3]",0.4375,0.125,0.2857,True,0.375,0.375,1.0,True
1,False,The Meadowbrook State Parkway connects to the Southern State Parkway in a community with what population as of the 2010 ,"The Meadowbrook State Parkway connects to the Southern State Parkway in North Merrick. According to Document 2, the population of North Merrick was 12,272 at the 2010 census.","[3, 0, 2, 1]",0.25,0.1875,0.75,True,0.1875,0.1875,1.0,True
2,False,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,The socialist conferences were held with countries of the Entente or Allied powers.,"[3, 1, 0, 2]",0.5,0.2,0.4,True,0.2,0.2,1.0,True
3,False,What was the name of a land where Maria Anna of Spain's husband was king?,"According to Document 1, Maria Anna of Spain's husband, Ferdinand III, was King of Hungary and Bohemia, among other titles. Therefore, two lands where he was king were Hungary and Bohemia, and also Cr","[0, 3, 2, 1]",0.2857,0.2857,1.0,False,0.2857142857142857,0.2857142857142857,1.0,True
4,False,which nuclear reservation in the United States  did  the U.S. Atomic Energy Commission acquired Meyers Mill  as part of ,The Savannah River Site (SRS) is the nuclear reservation in the United States where the U.S. Atomic Energy Commission acquired Meyers Mill as part of.,"[3, 2, 0, 1]",0.2105,0.1053,0.5,False,0.21052631578947367,0.05263157894736842,0.25,True
5,False,Who wrote the TV serial in which Rosemary Martin played Marjorie ?,"The TV serial in which Rosemary Martin played Marjorie is ""Pennies from Heaven"", and it was written by Dennis Potter.","[1, 0, 2, 3]",0.2,0.1333,0.6667,True,0.2,0.13333333333333333,0.6666666666666666,True
6,False,"Telescope Hill is near the hamlet that is in what Suffolk County, New York town?","Telescope Hill is near the hamlet of Selden, which is in the Town of Brookhaven in Suffolk County, New York.","[0, 2, 1, 3]",0.2727,0.1818,0.6667,True,0.2727272727272727,0.18181818181818182,0.6666666666666666,True
7,False,Ivan Simson was under the command of the officer who was most noted for a defeat at what WWII battle?,"Ivan Simson was under the command of Arthur Percival, who is most noted for his defeat in the Battle of Singapore.","[3, 0, 1, 2]",0.3333,0.1667,0.5,True,0.16666666666666666,0.16666666666666666,1.0,True
8,False,"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?","N.P. Dodge Memorial Park, located at 11001 John J. Pershing Drive in North Omaha, has a baseball field, among other amenities.","[3, 2, 1, 0]",0.1875,0.125,0.6667,False,0.125,0.125,1.0,True
9,False,Why does the City of Boston get their christmas tree from Ainslee Glen Nova Scotia?,"The City of Boston gets their Christmas tree from Nova Scotia, not specifically because it is from Ainslie Glen, but as a gift from the people of Nova Scotia in thanks for their assistance after the 1","[1, 0, 2, 3]",0.2778,0.1111,0.4,True,0.16666666666666666,0.1111111111111111,0.6666666666666666,True
10,False,Are Agee and To Shoot an Elephant both documentaries about war?,"No, according to the documents, Agee is a documentary about the writer James Agee, while To Shoot an Elephant is a documentary about the 2008-2009 Gaza War.","[2, 3, 0, 1]",0.1429,0.1429,1.0,True,0.14285714285714285,0.14285714285714285,1.0,True
11,False,Riom Trial was headed by the French general who reached what distinction?,"The Riom Trial was headed by the Vichy France regime, which was headed by Marshal Philippe Pétain, a French general who reached the distinction of Marshal of France.","[2, 0, 1, 3]",0.4545,0.1818,0.4,True,0.18181818181818182,0.18181818181818182,1.0,True
12,False,Which style is the building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised? ,"The building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised is the Chrysler Building, and it is an Art Deco-style skyscraper.","[2, 0, 1, 3]",0.1429,0.0952,0.6667,True,0.09523809523809523,0.09523809523809523,1.0,True
13,False,Toyota Innova is part of the IMV program along with which light commercial vehicle?,"The Toyota Innova is part of the IMV program along with the Hilux pickup truck and the Fortuner SUV. Among these, the Hilux is identified as a light commercial vehicle in Document 3.","[0, 3, 2, 1]",0.2353,0.0588,0.25,False,0.11764705882352941,0.11764705882352941,1.0,True
14,False,BOTH Skyang Kangri and Pumari Chhish are both what?,Both Skyang Kangri and Pumari Chhish are high peaks of the Karakoram range.,"[1, 0, 3, 2]",0.1538,0.1538,1.0,True,0.15384615384615385,0.15384615384615385,1.0,True
15,False,Telos was an album by a band who formed in what city?,"Telos was an album by the band Forevermore, who formed in Indianapolis, Indiana.","[1, 0, 3, 2]",0.1538,0.0769,0.5,True,0.11538461538461539,0.07692307692307693,0.6666666666666666,True
16,False,"Manchester, New Hampshire is a part of the Northeast megalopolis which included what other major cities?","Manchester, New Hampshire is a part of the Northeast megalopolis, which includes the major cities of Boston, Providence, Hartford, New York City, Philadelphia, Wilmington, Baltimore, and Washington, D","[3, 1, 2, 0]",0.1364,0.1364,1.0,True,0.22727272727272727,0.045454545454545456,0.2,True
17,False,Which tendencies does a group like Uyoku dantai fall under?,"A group like Uyoku dantai falls under authoritarian tendencies, as well as extreme nationalist and nativist ideologies, which are characteristic of far-right politics.","[1, 0, 3, 2]",0.2222,0.2222,1.0,True,0.4444444444444444,0.2222222222222222,0.5,True
