i,error,question,response,retrieved_idx,context_relevance,context_utilization,completeness,adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,False,Are Portuguese Podengo and Russo-European Laika the same breed of dog?,"No, the Portuguese Podengo and the Russo-European Laika are not the same breed of dog. They are two distinct breeds with different origins, as described in Document 1 (Russo-European Laika) and Docume","[1, 2, 0, 3]",0.4375,0.125,0.2857,True,0.375,0.375,1.0,True
1,False,The Meadowbrook State Parkway connects to the Southern State Parkway in a community with what population as of the 2010 ,"The Meadowbrook State Parkway connects to the Southern State Parkway in North Merrick. According to Document 2, the population of North Merrick was 12,272 at the 2010 census.","[3, 0, 2, 1]",0.1875,0.1875,1.0,True,0.1875,0.1875,1.0,True
2,False,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,The socialist conferences were held with countries of the Entente or Allied powers.,"[1, 3, 0, 2]",0.4,0.2,0.5,True,0.2,0.2,1.0,True
3,False,What was the name of a land where Maria Anna of Spain's husband was king?,"Bohemia and Hungary were lands where Maria Anna of Spain's husband, Ferdinand III, was king.","[0, 3, 2, 1]",0.2857,0.2857,1.0,True,0.2857142857142857,0.2857142857142857,1.0,True
4,False,which nuclear reservation in the United States  did  the U.S. Atomic Energy Commission acquired Meyers Mill  as part of ,The Savannah River Site (SRS) is the nuclear reservation in the United States where the U.S. Atomic Energy Commission acquired Meyers Mill as part of.,"[3, 2, 0, 1]",0.2105,0.1053,0.5,False,0.21052631578947367,0.05263157894736842,0.25,True
5,False,Who wrote the TV serial in which Rosemary Martin played Marjorie ?,"Dennis Potter wrote the TV serial ""Pennies from Heaven"" in which Rosemary Martin played Marjorie.","[1, 0, 2, 3]",0.2,0.1333,0.6667,True,0.2,0.13333333333333333,0.6666666666666666,True
6,False,"Telescope Hill is near the hamlet that is in what Suffolk County, New York town?","Telescope Hill is near the hamlet of Selden, which is in the Town of Brookhaven in Suffolk County, New York.","[0, 2, 1, 3]",0.1818,0.1818,1.0,True,0.2727272727272727,0.18181818181818182,0.6666666666666666,True
7,False,Ivan Simson was under the command of the officer who was most noted for a defeat at what WWII battle?,"Ivan Simson was under the command of Lieutenant-General Arthur Ernest Percival, who is most noted for his defeat in the Battle of Singapore.","[3, 0, 2, 1]",0.25,0.25,1.0,True,0.16666666666666666,0.16666666666666666,1.0,True
8,False,"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?","N.P. Dodge Memorial Park, located at 11001 John J. Pershing Drive in North Omaha, has a baseball field, among other amenities.","[3, 2, 1, 0]",0.25,0.125,0.5,False,0.125,0.125,1.0,True
9,False,Why does the City of Boston get their christmas tree from Ainslee Glen Nova Scotia?,"The documents do not explicitly state why the City of Boston gets their Christmas tree from Ainslie Glen, Nova Scotia, specifically. However, Document 1 mentions that since 1971, the Boston Christmas ","[1, 0, 2, 3]",0.2222,0.1111,0.5,False,0.16666666666666666,0.1111111111111111,0.6666666666666666,True
