i,error,question,response,retrieved_idx,context_relevance,context_utilization,completeness,adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,False,Are Portuguese Podengo and Russo-European Laika the same breed of dog?,Cannot answer from the given context.,"[1, 2, 0, 3]",0.4375,0.0,0.0,True,0.375,0.375,1.0,True
1,False,The Meadowbrook State Parkway connects to the Southern State Parkway in a community with what population as of the 2010 ,"North Merrick is a community with a population of 12,272 as of the 2010 census.","[3, 0, 2, 1]",0.25,0.125,0.5,True,0.1875,0.1875,1.0,True
2,False,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,"The countries that opposed the Central Powers in the First World War are known as the Entente Powers or the Allies of World War I. 

Document 2 directly states that the Allies of World War I, or Enten","[1, 3, 0, 2]",0.4,0.1,0.25,False,0.2,0.2,1.0,True
3,False,What was the name of a land where Maria Anna of Spain's husband was king?,Bohemia.,"[0, 3, 2, 1]",0.2857,0.1429,0.5,True,0.2857142857142857,0.2857142857142857,1.0,True
4,False,which nuclear reservation in the United States  did  the U.S. Atomic Energy Commission acquired Meyers Mill  as part of ,The Savannah River Site.,"[3, 2, 0, 1]",0.1579,0.1053,0.6667,True,0.21052631578947367,0.05263157894736842,0.25,True
5,False,Who wrote the TV serial in which Rosemary Martin played Marjorie ?,"Dennis Potter wrote the TV serial ""Pennies from Heaven"" in which Rosemary Martin played Marjorie.","[1, 0, 2, 3]",0.2,0.1333,0.6667,True,0.2,0.13333333333333333,0.6666666666666666,True
6,False,"Telescope Hill is near the hamlet that is in what Suffolk County, New York town?",The hamlet near Telescope Hill is Selden.,"[0, 2, 1, 3]",0.2727,0.0909,0.3333,True,0.2727272727272727,0.18181818181818182,0.6666666666666666,True
7,False,Ivan Simson was under the command of the officer who was most noted for a defeat at what WWII battle?,"Ivan Simson was under the command of Lieutenant-General Arthur Ernest Percival, who is most noted for his defeat in the Second World War, specifically during the Japanese Malayan Campaign and the subs","[3, 0, 2, 1]",0.25,0.25,1.0,True,0.16666666666666666,0.16666666666666666,1.0,True
8,False,"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?",Cannot answer from the given context.,"[3, 2, 1, 0]",0.125,0.0,0.0,False,0.125,0.125,1.0,True
9,False,Why does the City of Boston get their christmas tree from Ainslee Glen Nova Scotia?,"The City of Boston gets their Christmas tree from Ainslie Glen, Nova Scotia, in thanks for their assistance after the 1917 Halifax Explosion.","[1, 0, 2, 3]",0.2778,0.1111,0.4,False,0.16666666666666666,0.1111111111111111,0.6666666666666666,True
10,False,Are Agee and To Shoot an Elephant both documentaries about war?,"To Shoot an Elephant is a documentary about the 2008-2009 Gaza War, which is a war. 

Agee is a documentary about the writer James Agee, but there is no information in the given context about the cont","[2, 3, 0, 1]",0.1429,0.1429,1.0,False,0.14285714285714285,0.14285714285714285,1.0,True
11,False,Riom Trial was headed by the French general who reached what distinction?,"The Riom Trial was headed by Marshal Philippe Pétain, who was a French general who reached the distinction of Marshal of France.","[2, 0, 3, 1]",0.4545,0.1818,0.4,True,0.18181818181818182,0.18181818181818182,1.0,True
12,False,Which style is the building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised? ,The building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised is the Chrysler Building.,"[2, 0, 1, 3]",0.1905,0.0952,0.5,False,0.09523809523809523,0.09523809523809523,1.0,True
