idx,chunking,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,C5,0.4706,0.4706,1.0,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,C5,0.2692,0.0385,0.1429,1,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,C5,0.1875,0.1875,1.0,1,0.125,0.0625,0.5,1
3,C5,0.1,0.1,1.0,0,0.3,0.3,1.0,1
4,C5,0.0667,0.0667,1.0,1,0.06666666666666667,0.06666666666666667,1.0,1
5,C5,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,C5,0.5556,0.0,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,C5,0.3182,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,C5,0.4737,0.0526,0.1111,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,C5,0.5417,0.1667,0.1538,1,1.0,0.041666666666666664,0.041666666666666664,1
10,C5,0.3,0.1,0.3333,0,0.35,0.1,0.2857142857142857,1
11,C5,0.6111,0.1111,0.1818,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,C5,0.2,0.1333,0.6667,0,0.13333333333333333,0.06666666666666667,0.5,1
13,C5,0.0526,0.0526,1.0,1,0.10526315789473684,0.05263157894736842,0.5,1
14,C5,0.7368,0.7368,1.0,0,0.2631578947368421,0.15789473684210525,0.6,1
16,C5,0.2353,0.1176,0.5,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,C5,0.2941,0.0588,0.2,1,0.058823529411764705,0.058823529411764705,1.0,1
18,C5,0.3333,0.1667,0.5,1,0.3333333333333333,0.3333333333333333,1.0,0
19,C5,0.3,0.3,1.0,1,0.1,0.1,1.0,1
20,C5,0.1724,0.1724,0.8,1,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,C5,0.1739,0.0435,0.25,1,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,C5,0.2727,0.3636,1.0,0,0.18181818181818182,0.18181818181818182,1.0,1
23,C5,0.3684,0.1053,0.1429,0,0.42105263157894735,0.15789473684210525,0.375,1
24,C5,0.4706,0.2941,0.625,0,0.23529411764705882,0.11764705882352941,0.5,0
25,C5,0.7692,0.1538,0.1,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
26,C5,0.4444,0.2778,0.625,1,0.4444444444444444,0.4444444444444444,1.0,1
27,C5,0.1905,0.1429,0.75,0,0.19047619047619047,0.19047619047619047,1.0,1
28,C5,0.2778,0.2778,0.4,0,0.2222222222222222,0.05555555555555555,0.25,1
29,C5,0.5238,0.1429,0.2727,0,0.38095238095238093,0.38095238095238093,1.0,0
30,C5,0.3182,0.2727,0.8571,0,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,C5,0.5,0.0714,0.1429,0,0.2857142857142857,0.14285714285714285,0.5,1
32,C5,0.2857,0.1905,0.6667,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,C5,0.4,0.3,0.75,0,0.4,0.25,0.625,1
34,C5,0.5,0.375,0.5,1,0.625,0.625,1.0,1
35,C5,0.3571,0.1429,0.4,1,0.35714285714285715,0.35714285714285715,1.0,0
36,C5,0.3333,0.2,0.6,0,0.4,0.26666666666666666,0.6666666666666666,1
37,C5,0.381,0.0476,0.125,0,0.2857142857142857,0.14285714285714285,0.5,1
38,C5,0.15,0.05,0.3333,1,0.2,0.05,0.25,1
39,C5,0.5,0.05,0.1,0,0.15,0.05,0.3333333333333333,1
40,C5,0.5,0.5556,1.0,0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,C5,0.0455,0.0455,1.0,1,0.045454545454545456,0.045454545454545456,1.0,1
42,C5,0.2143,0.2143,1.0,0,0.42857142857142855,0.42857142857142855,1.0,1
43,C5,0.3158,0.3158,1.0,1,0.5263157894736842,0.42105263157894735,0.8,1
44,C5,0.75,0.75,0.6667,0,0.5,0.5,1.0,1
45,C5,1.0,0.0,0.0,0,0.2,0.2,1.0,0
46,C5,0.5789,0.0,0.0,0,0.21052631578947367,0.21052631578947367,1.0,0
47,C5,0.6364,0.1818,0.2857,0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
48,C5,0.0909,0.0909,1.0,0,0.09090909090909091,0.045454545454545456,0.5,1
49,C5,0.25,0.0625,0.25,1,0.3125,0.0625,0.2,1
50,C5,0.087,0.0435,0.5,1,0.043478260869565216,0.043478260869565216,1.0,1
51,C5,0.3158,0.0,0.0,0,0.42105263157894735,0.21052631578947367,0.5,0
52,C5,0.3333,0.1111,0.3333,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,C5,0.1429,0.0476,0.3333,0,0.38095238095238093,0.047619047619047616,0.125,1
54,C5,0.1579,0.1579,0.6667,0,0.8421052631578947,0.47368421052631576,0.5625,1
55,C5,0.6,0.2,0.3333,0,0.4,0.25,0.625,1
56,C5,0.75,0.0625,0.0833,0,0.75,0.4375,0.5833333333333334,1
57,C5,0.4,0.1333,0.3333,0,0.3333333333333333,0.06666666666666667,0.2,1
58,C5,0.2667,0.2667,1.0,0,0.4,0.4,1.0,1
59,C5,0.5556,0.8889,1.0,0,0.2777777777777778,0.2222222222222222,0.8,1
60,C5,0.75,0.125,0.1667,1,0.75,0.375,0.5,1
61,C5,0.25,0.0,0.0,0,0.0,0.0,1.0,1
62,C5,0.3214,0.25,0.7778,0,0.35714285714285715,0.2857142857142857,0.8,0
63,C5,0.5,0.25,0.5,0,0.375,0.375,1.0,0
64,C5,0.375,0.25,0.6667,0,0.375,0.16666666666666666,0.4444444444444444,1
65,C5,0.5,0.0,0.0,0,0.125,0.0,0.0,1
66,C5,0.5,0.3333,0.6667,1,0.5,0.4444444444444444,0.8888888888888888,1
67,C5,0.4074,0.037,0.0909,1,0.14814814814814814,0.037037037037037035,0.25,1
68,C5,0.5,0.0909,0.1818,1,0.18181818181818182,0.18181818181818182,1.0,1
69,C5,0.7727,0.2727,0.3529,1,0.22727272727272727,0.09090909090909091,0.4,1
70,C5,0.4091,0.0909,0.2222,0,0.4090909090909091,0.2727272727272727,0.6666666666666666,1
71,C5,0.1364,0.0909,0.6667,0,0.09090909090909091,0.09090909090909091,1.0,1
72,C5,0.25,0.0625,0.25,1,0.25,0.0625,0.25,1
73,C5,0.1429,0.0952,0.6667,1,0.09523809523809523,0.09523809523809523,1.0,1
74,C5,0.6818,0.0455,0.0667,1,0.13636363636363635,0.09090909090909091,0.6666666666666666,1
