idx,chunking,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,C6,0.3529,0.2353,0.6667,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,C6,0.1923,0.0385,0.2,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,C6,0.1875,0.1875,1.0,1,0.125,0.0625,0.5,1
3,C6,0.15,0.0,0.0,0,0.3,0.3,1.0,1
4,C6,0.0667,0.0667,1.0,1,0.06666666666666667,0.06666666666666667,1.0,1
5,C6,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,C6,0.5556,0.0,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,C6,0.3182,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,C6,0.1579,0.0526,0.3333,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,C6,0.7083,0.0,0.0,1,1.0,0.041666666666666664,0.041666666666666664,1
10,C6,0.35,0.05,0.1429,0,0.35,0.1,0.2857142857142857,1
11,C6,0.6111,0.1111,0.1818,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,C6,0.1333,0.1333,1.0,0,0.13333333333333333,0.06666666666666667,0.5,1
13,C6,0.0526,0.0526,1.0,1,0.10526315789473684,0.05263157894736842,0.5,1
14,C6,0.7895,0.4737,0.6,0,0.2631578947368421,0.15789473684210525,0.6,1
16,C6,0.2941,0.1176,0.4,1,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,C6,0.2941,0.0588,0.2,1,0.058823529411764705,0.058823529411764705,1.0,1
18,C6,0.3333,0.1667,0.5,1,0.3333333333333333,0.3333333333333333,1.0,0
19,C6,0.3,0.3,1.0,1,0.1,0.1,1.0,1
20,C6,0.5172,0.5172,1.0,0,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,C6,0.1304,0.0435,0.3333,1,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,C6,0.2727,0.0,0.0,1,0.18181818181818182,0.18181818181818182,1.0,1
23,C6,0.4211,0.4211,0.875,0,0.42105263157894735,0.15789473684210525,0.375,1
24,C6,0.4706,0.4118,0.875,0,0.23529411764705882,0.11764705882352941,0.5,0
25,C6,0.6923,0.3846,0.2222,1,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
26,C6,0.4444,0.4444,1.0,0,0.4444444444444444,0.4444444444444444,1.0,1
27,C6,0.1905,0.1905,1.0,0,0.19047619047619047,0.19047619047619047,1.0,1
28,C6,0.2778,0.2222,0.4,1,0.2222222222222222,0.05555555555555555,0.25,1
29,C6,0.381,0.1905,0.25,0,0.38095238095238093,0.38095238095238093,1.0,0
30,C6,0.3636,0.3636,1.0,0,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,C6,0.3571,0.0714,0.2,1,0.2857142857142857,0.14285714285714285,0.5,1
32,C6,0.2381,0.1429,0.6,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,C6,0.4,0.3,0.75,0,0.4,0.25,0.625,1
34,C6,0.5,0.25,0.25,0,0.625,0.625,1.0,1
35,C6,0.3571,0.1429,0.4,1,0.35714285714285715,0.35714285714285715,1.0,0
36,C6,0.2667,0.2667,1.0,0,0.4,0.26666666666666666,0.6666666666666666,1
37,C6,0.2857,0.0,0.0,0,0.2857142857142857,0.14285714285714285,0.5,1
38,C6,0.15,0.05,0.3333,1,0.2,0.05,0.25,1
39,C6,0.45,0.05,0.1111,1,0.15,0.05,0.3333333333333333,1
40,C6,0.6111,0.1667,0.2727,0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
