model,ability,noise_ratio,n,metric,value
llama-3.3-70b-versatile,noise_robustness,0.0,300,accuracy_%,100.0
llama-3.3-70b-versatile,noise_robustness,0.2,300,accuracy_%,100.0
llama-3.3-70b-versatile,noise_robustness,0.4,300,accuracy_%,99.3333
llama-3.3-70b-versatile,noise_robustness,0.6,300,accuracy_%,99.3333
llama-3.3-70b-versatile,noise_robustness,0.8,300,accuracy_%,98.6667
llama-3.3-70b-versatile,info_integration,0.0,100,accuracy_%,79.0
llama-3.3-70b-versatile,info_integration,0.2,100,accuracy_%,78.0
llama-3.3-70b-versatile,info_integration,0.4,100,accuracy_%,73.0
llama-3.3-70b-versatile,negative_rejection,,300,rejection_rate_%,37.6667
llama-3.3-70b-versatile,counterfactual_nodocs,,100,accuracy_%,93.0
llama-3.3-70b-versatile,counterfactual_robustness,,100,acc_doc_%,61.0
llama-3.3-70b-versatile,counterfactual_robustness,,100,error_detection_%,54.0
llama-3.3-70b-versatile,counterfactual_robustness,,100,error_correction_among_detected_%,92.5926
llama-3.3-70b-versatile,counterfactual_robustness,,100,error_correction_overall_%,50.0
openai/gpt-oss-20b,noise_robustness,0.0,300,accuracy_%,95.6667
openai/gpt-oss-20b,noise_robustness,0.2,300,accuracy_%,96.3333
openai/gpt-oss-20b,noise_robustness,0.4,300,accuracy_%,95.3333
openai/gpt-oss-20b,noise_robustness,0.6,300,accuracy_%,95.6667
openai/gpt-oss-20b,noise_robustness,0.8,300,accuracy_%,93.6667
openai/gpt-oss-20b,info_integration,0.0,100,accuracy_%,66.0
openai/gpt-oss-20b,info_integration,0.2,100,accuracy_%,60.0
openai/gpt-oss-20b,info_integration,0.4,100,accuracy_%,57.0
openai/gpt-oss-20b,negative_rejection,,300,rejection_rate_%,70.3333
openai/gpt-oss-20b,counterfactual_nodocs,,100,accuracy_%,71.0
openai/gpt-oss-20b,counterfactual_robustness,,100,acc_doc_%,26.0
openai/gpt-oss-20b,counterfactual_robustness,,100,error_detection_%,40.0
openai/gpt-oss-20b,counterfactual_robustness,,100,error_correction_among_detected_%,65.0
openai/gpt-oss-20b,counterfactual_robustness,,100,error_correction_overall_%,26.0
openai/gpt-oss-120b,noise_robustness,0.0,300,accuracy_%,96.6667
openai/gpt-oss-120b,noise_robustness,0.2,300,accuracy_%,96.6667
openai/gpt-oss-120b,noise_robustness,0.4,300,accuracy_%,96.6667
openai/gpt-oss-120b,noise_robustness,0.6,300,accuracy_%,96.3333
openai/gpt-oss-120b,noise_robustness,0.8,300,accuracy_%,93.3333
openai/gpt-oss-120b,info_integration,0.0,100,accuracy_%,71.0
openai/gpt-oss-120b,info_integration,0.2,100,accuracy_%,68.0
openai/gpt-oss-120b,info_integration,0.4,100,accuracy_%,62.0
openai/gpt-oss-120b,negative_rejection,,300,rejection_rate_%,71.6667
openai/gpt-oss-120b,counterfactual_nodocs,,100,accuracy_%,91.0
openai/gpt-oss-120b,counterfactual_robustness,,100,acc_doc_%,51.0
openai/gpt-oss-120b,counterfactual_robustness,,100,error_detection_%,60.0
openai/gpt-oss-120b,counterfactual_robustness,,100,error_correction_among_detected_%,83.3333
openai/gpt-oss-120b,counterfactual_robustness,,100,error_correction_overall_%,50.0
