id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' took place on January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17.",1
3,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Defensive Coordinator.,1
4,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,How many vehicles did Tesla deliver in 2021?,"According to the provided document, Tesla delivered 936,172 vehicles in 2021.",1
5,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Where is the Super Bowl held in 2022?,"According to the document, the Super Bowl in 2022 (Super Bowl LVI) is held at SoFi Stadium in Inglewood, California.",1
7,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When will Truth Social launch on iOS?,"According to the documents, Truth Social was released on Apple iOS on February 21, 2022.",1
8,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Picture Drama at the 79th Golden Globes.,1
9,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,How much are GA Tech softball 2022 season tickets?,I can not answer the question because of the insufficient information in documents.,0
10,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When does the 2022 Olympic Winter Games end?,"According to the document, the 2022 Winter Olympics ended on Day 16, which corresponds to February 20, 2022.",1
11,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won the Spanish Super Cup 2022?,Real Madrid won the Spanish Super Cup 2022.,1
12,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,How much is Microsoft acquiring Activision Blizzard for?,"According to the documents, Microsoft is acquiring Activision Blizzard for $68.7 billion.",1
13,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What is the price for a 30-second spot during the Super Bowl 2022?,"According to the document, the price for a 30-second commercial during the Super Bowl in 2022 was $6.5 million.",1
14,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When is the Sports Star of the Year Awards Show 2022?,"The Seattle Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1
15,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage.",1
16,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What is the codename for Google's AR headset project?,The codename for Google's AR headset project is Project Iris.,1
17,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What is the name of Meta's AI supercomputer?,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1
18,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When will American students start taking digital SAT exams?,US students will begin taking the digital SAT in Spring 2024.,1
19,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When do the Paralympic Winter Games 2022 start?,"The 2022 Paralympic Winter Games begin on Friday, March 4, 2022, and will end on Sunday, March 13, 2022.",1
20,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Super Bowl 2022 date,"The Super Bowl 2022 will take place on Sunday, Feb. 13, 2022.",1
21,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won the 2022 Nobel Prize for chemistry?,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless for the development of click chemistry and bioorthogonal chemistry.",1
22,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won the Super Bowl 2022?,"The Los Angeles Rams won the Super Bowl 2022, defeating the Cincinnati Bengals 23-20.",1
23,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won women's 500m speed skating at the 2022 Winter Olympics?,Erin Jackson of the United States won the women's 500m speed skating event at the 2022 Winter Olympics.,1
24,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When was Lost Ark game release on Steam?,"According to the document, Lost Ark was released on Steam on February 11, 2022.",1
25,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"According to the provided documents, Jessie Diggins won the following medals in the Beijing 2022 Olympic Games:

* Silver medal in the women's 30 kilometer freestyle
* Bronze medal in the individual sprint",1
26,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What is the genre of The Endgame (TV show)?,The genre of The Endgame (TV show) is Crime drama · Thriller.,1
27,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When did Russia invade Ukraine?,"According to the provided documents, Russia invaded Ukraine on February 24, 2022.",1
28,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When was Elden Ring being released?,"According to the document, Elden Ring was released on February 25, 2022, for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S.",1
29,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who did Iga Swiatek defeat to win the Qatar Open 2022?,"According to the document, Iga Swiatek defeated Anett Kontaveit in the final of the Qatar Open 2022, winning the match with only 2 games lost.",1
30,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Which country won the most medals at the 2022 Winter Olympics?,"According to the document, Norway won the most medals at the 2022 Winter Olympics with a total of 37 medals.",1
31,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won the Male Vocalist of the Year at the 2022 CMA ?,Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards.,1
32,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,Who won the ACC Tournament in 2022?,The Virginia Tech Hokies won the 2022 ACC Tournament.,1
33,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What chip does the iPhone 14 have?,"The iPhone 14 has the A15 chip, which has a 6-core CPU, 5-core GPU, and a 16-core Neural Engine.",1
34,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,When is Google I/O 2022 scheduled to take place?,"Google I/O 2022 is scheduled to take place on May 11-12, 2022.",1
35,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,who will direct Irredeemable film?,Jeymes Samuel will direct the Irredeemable film.,1
36,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.4,What is the name of China's rover on Mars?,The name of China's rover on Mars is Zhurong.,1
