id,model,ability,noise_ratio,query,model_response,accuracy
0,openai/gpt-oss-20b,noise_robustness,0.8,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The film **“Carole King & James Taylor: Just Call Out My Name”** premiered on **January 2, 2022** (at 9:00 p.m. ET/PT on CNN).",1
1,openai/gpt-oss-20b,noise_robustness,0.8,"The genre of the drama ""Good Sam"" is what?",The drama “Good Sam” is a **medical drama**.,1
2,openai/gpt-oss-20b,noise_robustness,0.8,Who won the 2022 Citrus Bowl?,Kentucky won the 2022 Citrus Bowl.,1
3,openai/gpt-oss-20b,noise_robustness,0.8,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Jason Semore served as the **defensive coordinator** at Valdosta State before returning to Georgia Tech.,1
4,openai/gpt-oss-20b,noise_robustness,0.8,How many vehicles did Tesla deliver in 2021?,"Tesla delivered **936,172 vehicles in 2021**.",1
5,openai/gpt-oss-20b,noise_robustness,0.8,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group (EVO) acquired ShowBiz Cinemas.,1
6,openai/gpt-oss-20b,noise_robustness,0.8,Where is the Super Bowl held in 2022?,"The 2022 Super Bowl (Super Bowl LVI) was held at **SoFi Stadium in Inglewood, California**.",1
7,openai/gpt-oss-20b,noise_robustness,0.8,When will Truth Social launch on iOS?,"Truth Social launched on iOS on **February 21, 2022**.",1
8,openai/gpt-oss-20b,noise_robustness,0.8,What won best drama at 79th Golden Globes?,The 79th Golden Globe Award for Best Picture – Drama was won by **“The Power of the Dog.”**,1
9,openai/gpt-oss-20b,noise_robustness,0.8,How much are GA Tech softball 2022 season tickets?,Georgia Tech softball 2022 season tickets cost **$100 per seat**.,1
10,openai/gpt-oss-20b,noise_robustness,0.8,When does the 2022 Olympic Winter Games end?,The 2022 Olympic Winter Games ended on **20 February 2022**.,1
11,openai/gpt-oss-20b,noise_robustness,0.8,Who won the Spanish Super Cup 2022?,The Spanish Super Cup held in 2022 was won by **Real Madrid**.,1
12,openai/gpt-oss-20b,noise_robustness,0.8,How much is Microsoft acquiring Activision Blizzard for?,Microsoft is acquiring Activision Blizzard for an all‑cash deal valued at **$68.7 billion**.,1
13,openai/gpt-oss-20b,noise_robustness,0.8,What is the price for a 30-second spot during the Super Bowl 2022?,I can not answer the question because of the insufficient information in documents.,0
