idx,strategy,our_relevance,ref_relevance,our_utilization,ref_utilization,our_completeness,ref_completeness,our_adherence,ref_adherence
0,A3_E2_rerank,0.353,0.412,0.353,0.176,0.833,0.429,0,0
1,A3_E2_rerank,0.346,0.269,0.0,0.077,0.0,0.286,0,1
2,A3_E2_rerank,0.312,0.125,0.125,0.062,0.4,0.5,1,1
3,A3_E2_rerank,0.1,0.3,0.05,0.3,0.5,1.0,1,1
4,A3_E2_rerank,0.133,0.067,0.067,0.067,0.5,1.0,0,1
5,A3_E2_rerank,0.176,0.294,0.059,0.176,0.333,0.6,1,1
6,A3_E2_rerank,1.0,0.056,0.0,0.056,0.0,1.0,0,1
7,A3_E2_rerank,0.318,0.364,0.0,0.045,0.0,0.125,0,1
8,A3_E2_rerank,0.158,0.158,0.053,0.053,0.333,0.333,0,1
9,A3_E2_rerank,0.708,1.0,0.0,0.042,0.0,0.042,1,1
10,A3_E2_rerank,0.4,0.35,0.1,0.1,0.25,0.286,0,1
11,A3_E2_rerank,0.611,0.389,0.111,0.222,0.182,0.571,1,1
12,A3_E2_rerank,0.133,0.133,0.0,0.067,0.0,0.5,0,1
13,A3_E2_rerank,0.105,0.105,0.105,0.053,1.0,0.5,1,1
14,A3_E2_rerank,0.737,0.263,0.421,0.158,0.571,0.6,0,1
15,A3_E2_rerank,0.2,0.2,0.2,0.2,1.0,1.0,0,1
16,A3_E2_rerank,0.294,0.176,0.059,0.118,0.2,0.667,1,0
17,A3_E2_rerank,0.176,0.059,0.059,0.059,0.333,1.0,1,1
18,A3_E2_rerank,0.333,0.333,0.167,0.333,0.5,1.0,1,0
19,A3_E2_rerank,0.2,0.1,0.2,0.1,1.0,1.0,0,1
20,A3_E2_rerank,0.276,0.414,0.172,0.345,0.625,0.833,1,1
22,A3_E2_rerank,0.273,0.182,0.273,0.182,1.0,1.0,0,1
23,A3_E2_rerank,0.526,0.421,0.263,0.158,0.5,0.375,1,1
24,A3_E2_rerank,0.294,0.235,0.118,0.118,0.4,0.5,0,0
25,A3_E2_rerank,0.769,0.231,0.0,0.154,0.0,0.667,0,1
26,A3_E2_rerank,0.444,0.444,0.444,0.444,1.0,1.0,0,1
27,A3_E2_rerank,0.191,0.19,0.191,0.19,1.0,1.0,0,1
28,A3_E2_rerank,0.056,0.222,0.056,0.056,1.0,0.25,1,1
29,A3_E2_rerank,0.524,0.381,0.381,0.381,0.636,1.0,0,0
30,A3_E2_rerank,0.227,0.273,0.227,0.227,1.0,0.833,0,0
32,A3_E2_rerank,0.286,0.286,0.048,0.095,0.167,0.333,0,1
33,A3_E2_rerank,0.5,0.4,0.5,0.25,1.0,0.625,0,1
34,A3_E2_rerank,0.375,0.625,0.125,0.625,0.333,1.0,0,1
35,A3_E2_rerank,0.357,0.357,0.143,0.357,0.4,1.0,1,0
36,A3_E2_rerank,0.4,0.4,0.4,0.267,1.0,0.667,0,1
37,A3_E2_rerank,0.286,0.286,0.0,0.143,0.0,0.5,0,1
38,A3_E2_rerank,0.15,0.2,0.05,0.05,0.333,0.25,0,1
39,A3_E2_rerank,0.5,0.15,0.05,0.05,0.1,0.333,0,1
41,A3_E2_rerank,0.091,0.045,0.045,0.045,0.5,1.0,1,1
42,A3_E2_rerank,0.286,0.429,0.0,0.429,0.0,1.0,0,1
43,A3_E2_rerank,0.316,0.526,0.316,0.421,1.0,0.8,0,1
44,A3_E2_rerank,0.375,0.5,0.5,0.5,1.0,1.0,0,1
45,A3_E2_rerank,0.8,0.2,0.8,0.2,1.0,1.0,1,0
46,A3_E2_rerank,0.526,0.211,0.526,0.211,1.0,1.0,0,0
47,A3_E2_rerank,0.636,0.273,0.182,0.182,0.286,0.667,0,1
