idx,strategy,our_relevance,ref_relevance,our_utilization,ref_utilization,our_completeness,ref_completeness,our_adherence,ref_adherence
0,A3_E3_rerank,0.294,0.412,0.294,0.176,1.0,0.429,0,0
1,A3_E3_rerank,0.192,0.269,0.038,0.077,0.2,0.286,0,1
2,A3_E3_rerank,0.125,0.125,0.062,0.062,0.5,0.5,1,1
3,A3_E3_rerank,0.2,0.3,0.0,0.3,0.0,1.0,0,1
4,A3_E3_rerank,0.2,0.067,0.067,0.067,0.333,1.0,0,1
5,A3_E3_rerank,0.176,0.294,0.059,0.176,0.333,0.6,1,1
6,A3_E3_rerank,1.0,0.056,0.0,0.056,0.0,1.0,0,1
7,A3_E3_rerank,0.273,0.364,0.0,0.045,0.0,0.125,0,1
8,A3_E3_rerank,0.158,0.158,0.053,0.053,0.333,0.333,1,1
9,A3_E3_rerank,0.708,1.0,0.125,0.042,0.176,0.042,1,1
10,A3_E3_rerank,0.35,0.35,0.1,0.1,0.286,0.286,0,1
11,A3_E3_rerank,0.611,0.389,0.111,0.222,0.091,0.571,0,1
12,A3_E3_rerank,0.2,0.133,0.0,0.067,0.0,0.5,0,1
13,A3_E3_rerank,0.105,0.105,0.105,0.053,1.0,0.5,1,1
14,A3_E3_rerank,0.789,0.263,0.789,0.158,1.0,0.6,0,1
16,A3_E3_rerank,0.294,0.176,0.118,0.118,0.4,0.667,0,0
17,A3_E3_rerank,0.294,0.059,0.059,0.059,0.2,1.0,1,1
18,A3_E3_rerank,0.333,0.333,0.167,0.333,0.5,1.0,1,0
19,A3_E3_rerank,0.3,0.1,0.3,0.1,1.0,1.0,0,1
20,A3_E3_rerank,0.345,0.414,0.345,0.345,1.0,0.833,0,1
21,A3_E3_rerank,0.13,0.13,0.043,0.043,0.333,0.333,1,1
22,A3_E3_rerank,0.545,0.182,0.182,0.182,0.333,1.0,1,1
23,A3_E3_rerank,0.316,0.421,0.21,0.158,0.667,0.375,0,1
24,A3_E3_rerank,0.529,0.235,0.059,0.118,0.111,0.5,1,0
25,A3_E3_rerank,0.692,0.231,0.077,0.154,0.0,0.667,0,1
26,A3_E3_rerank,0.444,0.444,0.444,0.444,1.0,1.0,0,1
27,A3_E3_rerank,0.191,0.19,0.095,0.19,0.5,1.0,0,1
28,A3_E3_rerank,0.333,0.222,0.222,0.056,0.667,0.25,1,1
29,A3_E3_rerank,0.476,0.381,0.333,0.381,0.6,1.0,0,0
30,A3_E3_rerank,0.182,0.273,0.136,0.227,0.75,0.833,0,0
31,A3_E3_rerank,0.5,0.286,0.143,0.143,0.286,0.5,0,1
32,A3_E3_rerank,0.571,0.286,0.095,0.095,0.167,0.333,0,1
33,A3_E3_rerank,0.4,0.4,0.2,0.25,0.5,0.625,0,1
34,A3_E3_rerank,0.875,0.625,0.375,0.625,0.429,1.0,0,1
35,A3_E3_rerank,0.357,0.357,0.143,0.357,0.4,1.0,1,0
36,A3_E3_rerank,0.333,0.4,0.333,0.267,0.8,0.667,0,1
37,A3_E3_rerank,0.286,0.286,0.0,0.143,0.0,0.5,0,1
38,A3_E3_rerank,0.15,0.2,0.05,0.05,0.333,0.25,0,1
39,A3_E3_rerank,0.45,0.15,0.05,0.05,0.111,0.333,1,1
40,A3_E3_rerank,0.667,0.667,0.444,0.222,0.667,0.333,1,1
41,A3_E3_rerank,0.045,0.045,0.045,0.045,1.0,1.0,1,1
42,A3_E3_rerank,0.286,0.429,0.286,0.429,1.0,1.0,0,1
43,A3_E3_rerank,0.421,0.526,0.421,0.421,1.0,0.8,0,1
44,A3_E3_rerank,0.375,0.5,0.5,0.5,1.0,1.0,0,1
45,A3_E3_rerank,1.0,0.2,0.4,0.2,0.4,1.0,0,0
46,A3_E3_rerank,0.526,0.211,0.526,0.211,1.0,1.0,1,0
47,A3_E3_rerank,0.636,0.273,0.273,0.182,0.429,0.667,0,1
49,A3_E3_rerank,0.312,0.312,0.062,0.062,0.2,0.2,1,1
50,A3_E3_rerank,0.087,0.043,0.043,0.043,0.5,1.0,1,1
