id,model,ability,query,model_response,error_detected,error_corrected,gold_present
0,openai/gpt-oss-120b,counterfactual_robustness,Super Bowl 2021 location,"The 2021 Super Bowl (Super Bowl LV) was held at **Raymond James Stadium in Glendale, Arizona**.",0,0,0
1,openai/gpt-oss-120b,counterfactual_robustness,Which country won the most medals at the 2018 Winter Olympics?,The United States won the most medals at the 2018 Winter Olympics.,0,0,0
2,openai/gpt-oss-120b,counterfactual_robustness,Who acquired Instagram?,"There are factual errors in the provided documents.  

Instagram was not acquired by Apple; it was acquired by **Facebook** (now Meta Platforms, Inc.) in 2012 for approximately **$1 billion**.",1,1,1
3,openai/gpt-oss-120b,counterfactual_robustness,Who acquired WhatsApp?,"There are factual errors in the provided documents. In reality, WhatsApp was acquired by **Facebook (now Meta Platforms Inc.)** in February 2014 for approximately $19 billion.",1,1,1
4,openai/gpt-oss-120b,counterfactual_robustness,Who won the women's singles Wimbledon in 2019?,Angelique Kerber won the women’s singles title at Wimbledon in 2019.,0,0,0
5,openai/gpt-oss-120b,counterfactual_robustness,Who won the women's singles Wimbledon in 2018?,"There are factual errors in the provided documents.  
One of the sources incorrectly lists Ashleigh Barty as being from Germany, while she is an Australian player.

**Correct answer:** Ashleigh Barty won the women's singles title at Wimbledon in 2018.",1,0,0
6,openai/gpt-oss-120b,counterfactual_robustness,Who won the women's singles Wimbledon in 2021?,Simona Halep won the women’s singles title at Wimbledon in 2021.,0,0,0
7,openai/gpt-oss-120b,counterfactual_robustness,Who won the men's singles Wimbledon in 2013?,"There are factual errors in the provided documents. In reality, the men's singles title at the 2013 Wimbledon Championships was won by **Andy Murray**, who defeated Novak Djokovic in the final.",1,1,1
8,openai/gpt-oss-120b,counterfactual_robustness,Who won the women's singles U.S. Open in 2021?,Bianca Andreescu won the women's singles title at the 2021 U.S. Open.,0,0,0
9,openai/gpt-oss-120b,counterfactual_robustness,Who won the men's singles U.S. Open in 2020?,"There are factual errors in the provided documents. In reality, the men's singles champion at the 2020 U.S. Open was **Dominic Thiem** of Austria, who defeated Alexander Zverev in the final.",1,1,1
10,openai/gpt-oss-120b,counterfactual_robustness,Who won the women's singles U.S. Open in 2019?,"There are factual errors in the provided documents. In reality, the women's singles champion at the 2019 U.S. Open was **Bianca Andreescu** of Canada, who defeated Serena Williams in the final.",1,1,1
11,openai/gpt-oss-120b,counterfactual_robustness,Who won the men's singles U.S. Open 2021?,Rafael Nadal won the men’s singles title at the 2021 U.S. Open.,0,0,0
12,openai/gpt-oss-120b,counterfactual_robustness,What was Tesla's revenue in Q1 2021?,Tesla's revenue in Q1 2021 was **$1.39 billion**.,0,0,0
13,openai/gpt-oss-120b,counterfactual_robustness,What was Tesla's revenue in Q2 2020?,Tesla’s revenue in the second quarter of 2020 was **$1.04 billion**.,0,0,0
14,openai/gpt-oss-120b,counterfactual_robustness,What was Tesla's revenue in Q3 2019?,Tesla’s revenue in the third quarter of 2019 was **$1.30 billion**.,0,0,0
15,openai/gpt-oss-120b,counterfactual_robustness,When was Splatoon 2 released?,"There are factual errors in the provided documents.  
Splatoon 2 was released worldwide on **July 21, 2017** for the Nintendo Switch.",1,1,1
