id,model,ability,query,model_response,accuracy
0,openai/gpt-oss-20b,counterfactual_nodocs,Super Bowl 2021 location,"The 2021 Super Bowl (Super Bowl LV) was held at **Raymond James Stadium in Tampa, Florida** on February 7, 2021.",1
1,openai/gpt-oss-20b,counterfactual_nodocs,Which country won the most medals at the 2018 Winter Olympics?,"The country that finished first in the medal table at the 2018 Winter Olympics in Pyeongchang was **Norway**. Norway captured a total of 39 medals—14 gold, 8 silver, and 17 bronze—out of the 364 medals awarded across all sports.",1
2,openai/gpt-oss-20b,counterfactual_nodocs,Who acquired Instagram?,Instagram was acquired by **Facebook (now Meta Platforms Inc.)** in 2012 for approximately $1 billion.,1
3,openai/gpt-oss-20b,counterfactual_nodocs,Who acquired WhatsApp?,WhatsApp was acquired by **Facebook (now Meta Platforms Inc.)** in 2014.,1
4,openai/gpt-oss-20b,counterfactual_nodocs,Who won the women's singles Wimbledon in 2019?,,0
5,openai/gpt-oss-20b,counterfactual_nodocs,Who won the women's singles Wimbledon in 2018?,The women's singles title at Wimbledon 2018 was won by **Angelique Kerber** of Germany. She defeated Serena Williams in the final.,1
6,openai/gpt-oss-20b,counterfactual_nodocs,Who won the women's singles Wimbledon in 2021?,"The 2021 Wimbledon women’s singles title was won by **Ashleigh Barty** of Australia, who defeated Ons Jabeur in the final.",1
7,openai/gpt-oss-20b,counterfactual_nodocs,Who won the men's singles Wimbledon in 2013?,The men's singles title at Wimbledon 2013 was won by **Novak Djokovic**. He defeated Andy Murray in the final.,1
8,openai/gpt-oss-20b,counterfactual_nodocs,Who won the women's singles U.S. Open in 2021?,Iga Świątek won the women’s singles title at the 2021 U.S. Open.,0
9,openai/gpt-oss-20b,counterfactual_nodocs,Who won the men's singles U.S. Open in 2020?,The men's singles title at the 2020 U.S. Open was won by **Dominic Thiem** of Austria.,1
10,openai/gpt-oss-20b,counterfactual_nodocs,Who won the women's singles U.S. Open in 2019?,,0
11,openai/gpt-oss-20b,counterfactual_nodocs,Who won the men's singles U.S. Open 2021?,The men's singles title at the 2021 U.S. Open was won by **Novak Djokovic**. He defeated Daniil Medvedev in the final.,1
12,openai/gpt-oss-20b,counterfactual_nodocs,What was Tesla's revenue in Q1 2021?,Tesla’s revenue for the first quarter of 2021 was **$10.39 billion** (up about 74 % year‑over‑year).,0
13,openai/gpt-oss-20b,counterfactual_nodocs,What was Tesla's revenue in Q2 2020?,Tesla’s revenue for the second quarter of 2020 was **about $1.34 billion**.,0
14,openai/gpt-oss-20b,counterfactual_nodocs,What was Tesla's revenue in Q3 2019?,,0
15,openai/gpt-oss-20b,counterfactual_nodocs,When was Splatoon 2 released?,"**Splatoon 2** was released on:

- **July 21, 2017** – Japan  
- **August 18, 2017** – North America, Europe, Australia, and the rest of the world (Nintendo Switch launch title).",1
16,openai/gpt-oss-20b,counterfactual_nodocs,Who acquired 20th Century Fox?,"20th Century Fox was acquired by **The Walt Disney Company**.  
Disney announced the purchase in December 2017, and the deal was completed on **March 20, 2019**, bringing the studio (along with its film and television assets, including the Fox Searchlight and Fox Television Studios brands) under Disney’s umbrella.",1
17,openai/gpt-oss-20b,counterfactual_nodocs,Who won the French Presidential Election 2017?,Emmanuel Macron won the French presidential election in 2017.,1
18,openai/gpt-oss-20b,counterfactual_nodocs,Who won the US Presidential Election 2020?,Joe Biden won the 2020 U.S. presidential election.,1
19,openai/gpt-oss-20b,counterfactual_nodocs,When was Diablo 3 released?,"**Diablo III** was released on **May 15, 2012**.  
- Windows, Xbox 360, and PlayStation 3 all launched on that date.  
- The game later expanded to other platforms (e.g., PlayStation 4, Xbox One, Nintendo Switch, and mobile) in subsequent years.",1
20,openai/gpt-oss-20b,counterfactual_nodocs,Who won the 2021 Tour de France?,The 2021 Tour de France was won by **Tadej Pogačar** of Slovenia.,1
21,openai/gpt-oss-20b,counterfactual_nodocs,Who won the 2019 Tour de France?,The 2019 Tour de France was won by **Tadej Pogačar** of Slovenia.,0
22,openai/gpt-oss-20b,counterfactual_nodocs,When was xenoblade chronicles 2 released?,"**Xenoblade Chronicles 2** was first released in Japan on **December 6, 2017**.  
It later launched in other regions:  

- **North America:** March 19, 2018  
- **Europe:** March 23, 2018  

So the game’s initial release date was December 6, 2017.",0
23,openai/gpt-oss-20b,counterfactual_nodocs,When was xenoblade chronicles X released in Japan?,"Xenoblade Chronicles X was released in Japan on **December 12, 2015**.",0
24,openai/gpt-oss-20b,counterfactual_nodocs,When was xenoblade chronicles Definite Edition released?,"**Xenoblade Chronicles: Definitive Edition** was released on the Nintendo Switch on the following dates:

| Region | Release date |
|--------|--------------|
| Japan | **December 7, 2018** |
| North America | **February 12, 2019** |
| Europe | **February 12, 2019** |
| Australia | **February 12, 2019** |

So the game first hit the market in Japan on December 7, 2018, and then became available worldwide a couple of months later on February 12, 2019.",0
25,openai/gpt-oss-20b,counterfactual_nodocs,When was GPT-3 released?,"GPT‑3 was publicly released by OpenAI in **June 2020**—the API went live on **June 11, 2020**.",1
26,openai/gpt-oss-20b,counterfactual_nodocs,When was OpenAI founded?,"OpenAI was founded in December 2015 (officially announced on December 11, 2015).",1
27,openai/gpt-oss-20b,counterfactual_nodocs,Who is the Heisman Trophy winner in 2012?,"The Heisman Trophy winner in 2012 was **Johnny Manziel** (QB, Texas A&M).",1
28,openai/gpt-oss-20b,counterfactual_nodocs,Who is the Walter Camp Award winner in 2017?,,0
29,openai/gpt-oss-20b,counterfactual_nodocs,Who is the Maxwell Award winner in 2019?,,0
30,openai/gpt-oss-20b,counterfactual_nodocs,Who is the director of the Avatar movie?,The film **“Avatar” (2009)** was directed by **James Cameron**.,1
31,openai/gpt-oss-20b,counterfactual_nodocs,Who is the director of the Silent Hill movie?,,0
32,openai/gpt-oss-20b,counterfactual_nodocs,Who is the director of the Assassin's Creed movie?,The 2016 *Assassin’s Creed* film was directed by **Justin Kurzel**.,1
33,openai/gpt-oss-20b,counterfactual_nodocs,What is the premiere date of Grey's Anatomy Season 17?,"Grey’s Anatomy Season 17 premiered on **September 25, 2020**.",0
34,openai/gpt-oss-20b,counterfactual_nodocs,What is the premiere date of The Walking Dead Season 11?,"The Walking Dead Season 11 premiered on **October 22, 2021**.",0
35,openai/gpt-oss-20b,counterfactual_nodocs,Who won the World Cup Final in 2018?,"France won the 2018 FIFA World Cup Final, defeating Croatia 4–2.",1
36,openai/gpt-oss-20b,counterfactual_nodocs,Who won the World Cup Final in 2014?,"The 2014 FIFA World Cup Final was won by **Germany**. They defeated Argentina 1–0 in the final match held on July 13, 2014, with Mario Götze scoring the decisive goal in extra time.",1
37,openai/gpt-oss-20b,counterfactual_nodocs,Who won the World Cup Final in 2010?,"Spain won the 2010 FIFA World Cup Final, defeating the Netherlands 1–0 after extra time.",1
