id,model,ability,query,model_response,accuracy
0,openai/gpt-oss-120b,info_integration,Who is the director of 'Carole King & James Taylor: Just Call Out My Name' and when is its premiere?,"The documentary **“Carline King & James Taylor: Just Call Out My Name”** was directed by **Frank Marshall**.  
Its premiere took place on **January 2, 2022**, when it aired on CNN (later becoming available on‑demand and on HBO Max).",1
1,openai/gpt-oss-120b,info_integration,Who won the 2022 and 2023 Citrus Bowl?,"The documents state that the 2022 Citrus Bowl (played on January 1, 2022) ended with a 20‑17 victory for the **Iowa Hawkeyes** over the Kentucky Wildcats.

For the 2023 Citrus Bowl, the provided text only mentions that the LSU Tigers were scheduled to play the Purdue Boilermakers; it does not include the game result. Therefore, the winner of the 2023 Citrus Bowl cannot be determined from the given documents.",1
2,openai/gpt-oss-120b,info_integration,Where are the Super Bowl held in 2022 and 2023?,"- **Super Bowl LVI (2022)** – Played on February 13 2022 at **SoFi Stadium in Inglewood, California** (the home stadium of the Los Angeles Rams).  

- **Super Bowl LVII (2023)** – Scheduled to be played at **State Farm Stadium in Glendale, Arizona** (the home stadium of the Arizona Cardinals).",1
3,openai/gpt-oss-120b,info_integration,What won best drama and best Musical/Comedy at 79th Golden Globes?,"At the 79th Golden Globe Awards:

- **Best Motion Picture – Drama** was won by **“The Power of the Dog.”**  
- **Best Motion Picture – Musical or Comedy** was won by **“West Side Story.”**",1
4,openai/gpt-oss-120b,info_integration,When does the 2022 Olympic Winter Games start and end?,"The 2022 Olympic Winter Games in Beijing were scheduled to run from **February 4, 2022** through **February 20, 2022**.",1
5,openai/gpt-oss-120b,info_integration,When do the Paralympic and Olympic Winter Games 2022 start?,"The 2022 Winter Olympic Games began with their opening ceremony on **4 February 2022** (competition started a couple of days earlier, on 2 February).  
The 2022 Winter Paralympic Games opened on **4 March 2022**.",0
6,openai/gpt-oss-120b,info_integration,Super Bowl 2022 date and location?,"The 2022 Super Bowl (Super Bowl LVI) was played on **Sunday, February 13, 2022** at **SoFi Stadium in Inglewood, California**.",1
7,openai/gpt-oss-120b,info_integration,Who are the winners of the 2022 Nobel Prizes for chemistry and physics?,"The 2022 Nobel Prize laureates were:

- **Physics 2022:** Alain Aspect, John F. Clauser, and Anton Zeilinger.  
- **Chemistry 2022:** Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless.",1
8,openai/gpt-oss-120b,info_integration,Who won the Super Bowl 2022 and who was named the MVP?,"The Los Angeles Rams won the 2022 Super Bowl (Super Bowl LVI), and Rams wide receiver **Cooper Kupp** was named the game's MVP.",1
9,openai/gpt-oss-120b,info_integration,Who won men's and women's 500m speed skating at the 2022 Winter Olympics?,"- **Men’s 500 m:** Gao Tingyu of China won the gold medal.  
- **Women’s 500 m:** Erin Jackson of the United States won the gold medal.",1
