id,model,ability,query,model_response,accuracy
0,openai/gpt-oss-20b,info_integration,Who is the director of 'Carole King & James Taylor: Just Call Out My Name' and when is its premiere?,"The film **“Carole King & James Taylor: Just Call Out My Name”** is directed by **Frank Marshall**.  
It premiered on **January 2, 2022** (at 9:00 p.m. ET/PT on CNN).",1
1,openai/gpt-oss-20b,info_integration,Who won the 2022 and 2023 Citrus Bowl?,"- **2022 Citrus Bowl:** The Kentucky Wildcats defeated the Iowa Hawkeyes, 20–17.  
- **2023 Citrus Bowl:** The LSU Tigers defeated Purdue, 63–7.",1
2,openai/gpt-oss-20b,info_integration,Where are the Super Bowl held in 2022 and 2023?,"- **2022 Super Bowl (Super Bowl LVI)** – held at **SoFi Stadium in Inglewood, California**.  
- **2023 Super Bowl (Super Bowl LVII)** – held at **State Farm Stadium in Glendale, Arizona**.",1
3,openai/gpt-oss-20b,info_integration,What won best drama and best Musical/Comedy at 79th Golden Globes?,"- **Best Motion Picture – Drama:** *The Power of the Dog*  
- **Best Motion Picture – Musical or Comedy:** *West Side Story*",1
4,openai/gpt-oss-20b,info_integration,When does the 2022 Olympic Winter Games start and end?,"The 2022 Olympic Winter Games began on **February 4, 2022** and concluded on **February 20, 2022**.",1
5,openai/gpt-oss-20b,info_integration,When do the Paralympic and Olympic Winter Games 2022 start?,"- **Olympic Winter Games 2022:** start on **Friday, February 4, 2022**.  
- **Paralympic Winter Games 2022:** start on **Friday, March 4, 2022**.",1
6,openai/gpt-oss-20b,info_integration,Super Bowl 2022 date and location?,"The 2022 Super Bowl (Super Bowl LVI) was played on **February 13, 2022** at **SoFi Stadium in Los Angeles, California**.",1
7,openai/gpt-oss-20b,info_integration,Who are the winners of the 2022 Nobel Prizes for chemistry and physics?,"**2022 Nobel Prize in Chemistry** – Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless  
**2022 Nobel Prize in Physics** – Alain Aspect, John F. Clauser, and Anton Zeilinger",1
8,openai/gpt-oss-20b,info_integration,Who won the Super Bowl 2022 and who was named the MVP?,"The Los Angeles Rams won Super Bowl 2022 (Super Bowl LVI), defeating the Cincinnati Bengals 23–20.  
The game's Most Valuable Player was Rams wide receiver **Cooper Kupp**.",1
9,openai/gpt-oss-20b,info_integration,Who won men's and women's 500m speed skating at the 2022 Winter Olympics?,"The gold medalists at the 2022 Winter Olympics were:

- **Men’s 500 m speed skating:** **Gao Tingyu** (China)  
- **Women’s 500 m speed skating:** **Erin Jackson** (United States)",1
10,openai/gpt-oss-20b,info_integration,When were Elden Ring and Splatoon 3 being released?,"- **Elden Ring** was released on **25 February 2022** (for PlayStation 4/5, Xbox One/Series X/S, and PC).  
- **Splatoon 3** was released on **9 September 2022** (exclusively for the Nintendo Switch).",0
11,openai/gpt-oss-20b,info_integration,Who were the Male and Female Vocalists of the Year at the 2022 CMA?,"The 2022 Country Music Association Awards honored:

- **Male Vocalist of the Year:** **Chris Stapleton**  
- **Female Vocalist of the Year:** **Lainey Wilson**",1
12,openai/gpt-oss-20b,info_integration,What chips do the iPhone 14 and iPhone 14 pro have?,"- **iPhone 14**: A15 Bionic chip (6‑core CPU, 5‑core GPU, 16‑core Neural Engine)  
- **iPhone 14 Pro**: A16 Bionic chip (newer, more power‑efficient processor)",1
13,openai/gpt-oss-20b,info_integration,When and where is Google I/O 2022 scheduled to take place?,"Google I/O 2022 is scheduled for **May 11–12, 2022** and will be held at the **Shoreline Amphitheatre in Mountain View, California**.",1
14,openai/gpt-oss-20b,info_integration,What films won the 2022 and 2023 Academy Awards for Best Picture?,"- **2022 Academy Award for Best Picture:** *CODA*  
- **2023 Academy Award for Best Picture:** *Everything Everywhere All at Once*",1
15,openai/gpt-oss-20b,info_integration,When will the 95th and 94th Academy Awards be held?,"- **95th Academy Awards:** March 12, 2023  
- **94th Academy Awards:** March 27, 2022",1
16,openai/gpt-oss-20b,info_integration,What won Album of the Year at the GRAMMYs 2022 and what was the song of the year?,,0
17,openai/gpt-oss-20b,info_integration,Who won the men's and women's singles Australian Open 2022?,"The men's singles title at the 2022 Australian Open was won by **Rafael Nadal**, and the women's singles title was won by **Ashleigh Barty**.",1
18,openai/gpt-oss-20b,info_integration,Who won the men's and women's singles Australian Open 2023?,"The 2023 Australian Open champions were:

- **Men’s singles:** Novak Djokovic  
- **Women’s singles:** Aryna Sabalenka",1
19,openai/gpt-oss-20b,info_integration,Who are the champions of the French Open 2022 in men's and women's singles? ,I can not answer the question because of the insufficient information in documents.,0
20,openai/gpt-oss-20b,info_integration,Who won the men's and women's singles French Open 2023?,"The 2023 French Open champions were:

- **Men’s singles:** Novak Djokovic  
- **Women’s singles:** Iga Świątek",1
21,openai/gpt-oss-20b,info_integration,Who are the runners-up in the men's and women's singles at the 2023 French Open?,I can not answer the question because of the insufficient information in documents.,0
22,openai/gpt-oss-20b,info_integration,Who are the champion of the men's and women's singles at Wimbledon 2022?,"The champions at Wimbledon 2022 were:

- **Men’s singles:** Novak Djokovic  
- **Women’s singles:** Elena Rybakina",1
23,openai/gpt-oss-20b,info_integration,Who are the champion of the men's and women's singles at Wimbledon 2023?,"The champions at Wimbledon 2023 were:

- **Men’s singles:** **Carlos Alcaraz**  
- **Women’s singles:** **Markéta Vondroušová**",1
24,openai/gpt-oss-20b,info_integration,How many titles have both Swiatek and Djokovic won in the 2022 season?,"I can’t answer the question because the documents do not provide a single, clear figure for the total number of titles won by both Swiatek and Djokovic in 2022.",0
25,openai/gpt-oss-20b,info_integration,Who are the champions of the U.S. Open 2022 men's and women's singles?,"The champions of the 2022 U.S. Open were:

- **Men’s singles:** **Carlos Alcaraz**  
- **Women’s singles:** **Iga Świątek**",1
26,openai/gpt-oss-20b,info_integration,What were Tesla's revenues in Q1 and Q2 of 2022 respectively?,"Tesla’s reported revenues were:

- **Q1 2022:** **$18.76 billion**  
- **Q2 2022:** **$16.93 billion**",1
27,openai/gpt-oss-20b,info_integration,Who won the French Presidential Election 2022 and who were the candidates?,"**Winner**

- **Emmanuel Macron** – re‑elected as President of France in the 2022 election.

**Candidates who ran in the 2022 presidential election**

| Candidate | Party / Affiliation |
|-----------|---------------------|
| Emmanuel Macron | La République En Marche! (LREM) |
| Marine Le Pen | National Rally (RN) |
| Jean‑Luc Mélenchon | La France Insoumise (LFI) |
| Philippe Poutou | La France Insoumise (LFI) – candidate in 2022 |
| Jean Lassalle | Résistons! |
| Joachim Son‑Forget | Valeur Absolue (new party formed in 2020) |

These are the candidates mentioned in the provided document.",1
28,openai/gpt-oss-20b,info_integration,Where and when will the 2022 Met Gala take place?,"The 2022 Met Gala was held at the Metropolitan Museum of Art in New York City on **May 2, 2022**.",1
29,openai/gpt-oss-20b,info_integration,What were the revenues of Apple and Google in Q3 2022?,I can not answer the question because of the insufficient information in documents.,0
30,openai/gpt-oss-20b,info_integration,When was the ChatGPT and GPT4 released?,"ChatGPT was first released to the public on **November 30, 2022**.  
GPT‑4 was launched on **March 14, 2023**.",1
31,openai/gpt-oss-20b,info_integration,What is the location and date of the Major League Baseball Field of Dreams Game 2022?,"The 2022 Major League Baseball Field of Dreams Game was held in **Dyersville, Iowa** on **August 11, 2022**.",1
32,openai/gpt-oss-20b,info_integration,Who won the World Cup Final in 2022 and who were the runners-up?,"Argentina won the 2022 FIFA World Cup Final, and France were the runners‑up.",1
33,openai/gpt-oss-20b,info_integration,What were the unemployment rate in August and September  2022 in the U.S.?,"The U.S. unemployment rate (seasonally adjusted) was:

- **August 2022:** **3.7 %**  
- **September 2022:** **3.5 %**",0
