id,model,ability,noise_ratio,query,model_response,accuracy
0,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is a medical drama.",1
2,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,Who won the 2022 Citrus Bowl?,"Kentucky won the 2022 Citrus Bowl, defeating Iowa 20-17.",1
3,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,"According to the document, Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.",1
4,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,How many vehicles did Tesla deliver in 2021?,"According to the document, Tesla delivered 936,172 vehicles in 2021.",1
5,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,Where is the Super Bowl held in 2022?,"The Super Bowl in 2022 was held at SoFi Stadium in Inglewood, California.",1
7,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,When will Truth Social launch on iOS?,"According to the documents, Truth Social will launch on iOS on February 21st, 2022.",1
8,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Motion Picture – Drama at the 79th Golden Globes.,1
9,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,How much are GA Tech softball 2022 season tickets?,Season tickets are located in the reserved chairback sections of Mewborn Field and cost $100 per seat.,1
10,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,When does the 2022 Olympic Winter Games end?,"According to the document, the 2022 Winter Olympics ended on 20 February 2022.",1
11,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,Who won the Spanish Super Cup 2022?,"Real Madrid won the Spanish Super Cup 2022, defeating Athletic Bilbao 2-0 in the final.",1
12,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,How much is Microsoft acquiring Activision Blizzard for?,"According to the documents, Microsoft is acquiring Activision Blizzard for $68.7 billion in an all-cash deal, with a price of $95 per share.",1
13,meta-llama/llama-3.1-8b-instruct,noise_robustness,0.2,What is the price for a 30-second spot during the Super Bowl 2022?,"According to the document, the price for a 30-second spot during the Super Bowl 2022 is $6.5 million.",1
